Godzilla,2014,Gareth Edwards,"Action, Adventure, Sci-Fi",PG-13,6.4
The Other Woman,2014,Nick Cassavetes,"Comedy, Romance",PG-13,6.0
A Million Ways to Die in the West,2014,Seth MacFarlane,"Comedy, Western",R,6.1
The Interview,2014,Evan Goldberg,"Action, Adventure, Comedy",R,6.5
Into the Woods,2014,Rob Marshall,"Adventure, Comedy, Drama",PG,5.9
Noah,2014,Darren Aronofsky,"Action, Adventure, Drama",PG-13,5.8
Paddington,2014,Paul King,"Adventure, Comedy, Family",PG,7.3
Neighbors,2014,Nicholas Stoller,Comedy,R,6.3
Maleficent,2014,Robert Stromberg,"Adventure, Family, Fantasy",PG,6.9
"As Above, So Below",2014,John Erick Dowdle,"Horror, Mystery, Thriller",R,6.2
Sin City: A Dame to Kill For,2014,Frank Miller,"Action, Crime, Thriller",R,6.5
The Guest,2014,Adam Wingard,"Action, Mystery, Thriller",R,6.7
I Origins,2014,Mike Cahill,"Drama, Mystery, Romance",R,7.3
How to Train Your Dragon 2,2014,Dean DeBlois,"Animation, Action, Adventure",PG,7.8
Wild,2014,Jean-Marc Vallée,"Adventure, Biography, Drama",R,7.1
The Expendables 3,2014,Patrick Hughes,"Action, Adventure, Thriller",PG-13,6.1
Annabelle,2014,John R. Leonetti,"Horror, Mystery, Thriller",R,5.4
Dawn of the Planet of the Apes,2014,Matt Reeves,"Action, Adventure, Drama",PG-13,7.6
Exodus: Gods and Kings,2014,Ridley Scott,"Action, Adventure, Drama",PG-13,6.0
Jack Ryan: Shadow Recruit,2014,Kenneth Branagh,"Action, Drama, Thriller",PG-13,6.2
The Book of Life,2014,Jorge R. Gutiérrez,"Animation, Adventure, Comedy",PG,7.2
Inherent Vice,2014,Paul Thomas Anderson,"Comedy, Crime, Drama",R,6.6
RoboCop,2014,José Padilha,"Action, Crime, Sci-Fi",PG-13,6.1
The Taking of Deborah Logan,2014,Adam Robitel,"Horror, Mystery, Thriller",R,6.0
Foxcatcher,2014,Bennett Miller,"Biography, Drama, History",R,7.0
Every Secret Thing,2014,Amy Berg,"Crime, Drama, Mystery",R,6.1
Non-Stop,2014,Jaume Collet-Serra,"Action, Mystery, Thriller",PG-13,6.9
Goodnight Mommy,2014,Severin Fiala,"Horror, Mystery, Thriller",R,6.7
Muppets Most Wanted,2014,James Bobin,"Adventure, Comedy, Crime",PG,6.4
Creep,2014,Patrick Brice,"Horror, Thriller",R,6.3
Calvary,2014,John Michael McDonagh,"Crime, Drama, Mystery",R,7.4
Horrible Bosses 2,2014,Sean Anders,"Comedy, Crime",R,6.3
Night at the Museum: Secret of the Tomb,2014,Shawn Levy,"Adventure, Comedy, Family",PG,6.2
Still Alice,2014,Richard Glatzer,Drama,PG-13,7.5
The Judge,2014,David Dobkin,"Crime, Drama",R,7.4
Annie,2014,Will Gluck,"Comedy, Drama, Family",PG,5.3
Transcendence,2014,Wally Pfister,"Action, Drama, Sci-Fi",PG-13,6.2
Draft Day,2014,Ivan Reitman,"Drama, Sport",PG-13,6.8
Endless Love,2014,Shana Feste,"Drama, Romance",PG-13,6.2
Left Behind,2014,Vic Armstrong,"Action, Fantasy, Sci-Fi",PG-13,3.1
Need for Speed,2014,Scott Waugh,"Action, Thriller",PG-13,6.4
A Most Violent Year,2014,J.C. Chandor,"Action, Crime, Drama",R,7.0
Deliver Us from Evil,2014,Scott Derrickson,"Action, Adventure, Crime",R,6.2
Pompeii,2014,Paul W.S. Anderson,"Action, Adventure, Drama",PG-13,5.5
The Raid 2,2014,Gareth Evans,"Action, Crime, Thriller",R,7.9
Big Eyes,2014,Tim Burton,"Biography, Crime, Drama",PG-13,7.0
Vampire Academy,2014,Mark Waters,"Action, Comedy, Drama",PG-13,5.4
St. Vincent,2014,Theodore Melfi,"Comedy, Drama",PG-13,7.2
As the Gods Will,2014,Takashi Miike,"Adventure, Horror, Sci-Fi",TV-MA,6.4
Seventh Son,2014,Sergei Bodrov,"Action, Adventure, Fantasy",PG-13,5.5
The Homesman,2014,Tommy Lee Jones,"Drama, Western",R,6.6
Before We Go,2014,Chris Evans,"Comedy, Drama, Romance",PG-13,6.8
The Monuments Men,2014,George Clooney,"Comedy, Drama, History",PG-13,6.1
Let's Be Cops,2014,Luke Greenfield,"Action, Comedy, Crime",R,6.4
Penguins of Madagascar,2014,Eric Darnell,"Animation, Adventure, Comedy",PG,6.6
The Captive,2014,Atom Egoyan,"Crime, Drama, Mystery",R,5.9
Barefoot,2014,Andrew Fleming,"Comedy, Drama, Romance",PG-13,6.5
The Loft,2014,Erik Van Looy,"Mystery, Romance, Thriller",R,6.3
Mommy,2014,Xavier Dolan,Drama,R,8.0
That Awkward Moment,2014,Tom Gormican,"Comedy, Romance",R,6.1
A Walk Among the Tombstones,2014,Scott Frank,"Action, Crime, Drama",R,6.5
If I Stay,2014,R.J. Cutler,"Drama, Fantasy, Music",PG-13,6.7
Spring,2014,Justin Benson,"Horror, Romance, Sci-Fi",Not Rated,6.7
The Purge: Anarchy,2014,James DeMonaco,"Action, Horror, Sci-Fi",R,6.4
Pride,2014,Matthew Warchus,"Biography, Comedy, Drama",R,7.8
Winter's Tale,2014,Akiva Goldsman,"Drama, Fantasy, Mystery",PG-13,6.1
PK,2014,Rajkumar Hirani,"Comedy, Drama, Sci-Fi",Not Rated,8.1
Honeymoon,2014,Leigh Janiak,"Drama, Fantasy, Horror",R,5.7
Selma,2014,Ava DuVernay,"Biography, Drama, History",PG-13,7.5
3 Days to Kill,2014,McG,"Action, Drama, Thriller",PG-13,6.2
This Is Where I Leave You,2014,Shawn Levy,"Comedy, Drama",R,6.6
The Gambler,2014,Rupert Wyatt,"Crime, Drama, Thriller",R,6.0
Sabotage,2014,David Ayer,"Action, Crime, Drama",R,5.7
A Most Wanted Man,2014,Anton Corbijn,"Crime, Drama, Thriller",R,6.7
Taken 3,2014,Olivier Megaton,"Action, Crime, Thriller",PG-13,6.0
The Hundred-Foot Journey,2014,Lasse Hallström,"Comedy, Drama",PG,7.3
Love & Mercy,2014,Bill Pohlad,"Biography, Drama, Music",PG-13,7.4
The Duke of Burgundy,2014,Peter Strickland,"Drama, Romance",Not Rated,6.5
Into the Storm,2014,Steven Quale,"Action, Adventure, Drama",PG-13,5.8
Unfriended,2014,Levan Gabriadze,"Horror, Mystery, Thriller",R,5.6
Dumb and Dumber To,2014,Bobby Farrelly,Comedy,PG-13,5.6
Wolves,2014,David Hayter,"Action, Fantasy, Horror",R,5.3
The Signal,2014,William Eubank,"Drama, Mystery, Sci-Fi",PG-13,6.0
Rio 2,2014,Carlos Saldanha,"Animation, Adventure, Comedy",G,6.3
Life After Beth,2014,Jeff Baena,"Comedy, Fantasy, Horror",R,5.6
Veronica Mars,2014,Rob Thomas,"Crime, Drama, Mystery",PG-13,6.7
Cooties,2014,Jonathan Milott,"Action, Comedy, Horror",R,5.7
Who Am I,2014,Baran bo Odar,"Crime, Drama, Mystery",Not Rated,7.5
Tammy,2014,Ben Falcone,"Comedy, Romance",R,4.9
The Voices,2014,Marjane Satrapi,"Comedy, Crime, Fantasy",R,6.3
Zombeavers,2014,Jordan Rubin,"Comedy, Horror",R,4.8
And So It Goes,2014,Rob Reiner,"Comedy, Drama, Romance",PG-13,5.8
School Dance,2014,Nick Cannon,"Comedy, Drama, Music",R,4.5
Before I Go to Sleep,2014,Rowan Joffe,"Drama, Mystery, Thriller",R,6.3
Ride Along,2014,Tim Story,"Action, Comedy, Crime",PG-13,6.1
The Falling,2014,Carol Morley,"Drama, Mystery, Thriller",Not Rated,5.3
God's Not Dead,2014,Harold Cronk,"Adventure, Comedy, Drama",PG,4.6
'71,2014,Yann Demange,"Action, Crime, Drama",R,7.2
Mr. Peabody & Sherman,2014,Rob Minkoff,"Animation, Adventure, Comedy",PG,6.8
Effie Gray,2014,Richard Laxton,"Biography, Drama, Romance",PG-13,6.0
Jamesy Boy,2014,Trevor White,"Biography, Crime, Drama",Not Rated,6.2
The Salvation,2014,Kristian Levring,"Action, Drama, Thriller",R,6.7
Two Night Stand,2014,Max Nichols,"Comedy, Romance",R,6.3
In the Blood,2014,John Stockwell,"Action, Crime, Thriller",R,5.7
When Marnie Was There,2014,Hiromasa Yonebayashi,"Animation, Drama, Family",PG,7.7
The One I Love,2014,Charlie McDowell,"Comedy, Drama, Fantasy",R,7.0
Reasonable Doubt,2014,Peter Howitt,"Crime, Drama, Thriller",R,5.7
Frank,2014,Lenny Abrahamson,"Comedy, Drama, Music",R,6.9
Behaving Badly,2014,Tim Garrick,"Comedy, Romance",R,4.4
Walk of Shame,2014,Steven Brill,Comedy,R,6.0
Housebound,2014,Gerard Johnstone,"Comedy, Horror, Mystery",Not Rated,6.7
The Town That Dreaded Sundown,2014,Alfonso Gomez-Rejon,"Horror, Mystery, Thriller",R,5.6
Maps to the Stars,2014,David Cronenberg,"Comedy, Drama",R,6.2
The Rover,2014,David Michôd,"Action, Crime, Drama",R,6.4
Pawn Sacrifice,2014,Edward Zwick,"Biography, Drama, History",PG-13,7.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Miguel Arteta,"Comedy, Drama, Family",PG,6.2
Step Up All In,2014,Trish Sie,"Drama, Music, Romance",PG-13,5.9
In Your Eyes,2014,Brin Hill,"Fantasy, Romance",Not Rated,6.9
The November Man,2014,Roger Donaldson,"Action, Thriller",R,6.2
While We're Young,2014,Noah Baumbach,"Comedy, Drama",R,6.3
The Boxtrolls,2014,Graham Annable,"Animation, Adventure, Comedy",PG,6.8
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,"Drama, Horror, Romance",Not Rated,6.9
Backcountry,2014,Adam MacDonald,"Adventure, Drama, Horror",R,6.0
The Legend of Hercules,2014,Renny Harlin,"Action, Adventure, Fantasy",PG-13,4.2
Ouija,2014,Stiles White,"Horror, Mystery, Thriller",PG-13,4.5
Extraterrestrial,2014,Colin Minihan,"Action, Horror, Mystery",Not Rated,5.0
White Bird in a Blizzard,2014,Gregg Araki,"Drama, Mystery, Thriller",R,6.4
Girl House,2014,Jon Knautz,"Horror, Thriller",Not Rated,5.5
Grace of Monaco,2014,Olivier Dahan,"Biography, Drama, Romance",Not Rated,5.7
Song of the Sea,2014,Tomm Moore,"Animation, Adventure, Drama",PG,8.0
"Men, Women & Children",2014,Jason Reitman,"Comedy, Drama",R,6.6
Hector and the Search for Happiness,2014,Peter Chelsom,"Adventure, Comedy, Drama",R,6.9
Serena,2014,Susanne Bier,"Drama, History, Romance",R,5.4
"I, Frankenstein",2014,Stuart Beattie,"Action, Fantasy, Sci-Fi",PG-13,5.1
Get on Up,2014,Tate Taylor,"Biography, Drama, Music",PG-13,6.9
Beyond the Lights,2014,Gina Prince-Bythewood,"Drama, Music, Romance",PG-13,6.8
She's Funny That Way,2014,Peter Bogdanovich,"Comedy, Drama",R,6.1
Son of a Gun,2014,Julius Avery,"Action, Crime, Drama",R,6.4
Leviathan,2014,Andrey Zvyagintsev,"Crime, Drama",R,7.6
The Cobbler,2014,Tom McCarthy,"Comedy, Drama, Fantasy",PG-13,5.8
Stonehearst Asylum,2014,Brad Anderson,"Drama, Horror, Mystery",PG-13,6.8
Beauty and the Beast,2014,Christophe Gans,"Drama, Family, Fantasy",PG-13,6.4
Comet,2014,Sam Esmail,"Comedy, Drama, Romance",R,6.7
Dear White People,2014,Justin Simien,"Comedy, Drama, Romance",R,6.1
Big Game,2014,Jalmari Helander,"Action, Adventure",PG-13,5.4
The Water Diviner,2014,Russell Crowe,"Drama, History, War",R,7.0
A Little Chaos,2014,Alan Rickman,"Drama, Romance",R,6.5
